leaf number, sensor type, gain, integration time, data type,,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,,,LED
Leaf: 49, b'AS7265X',64,10,25, Raw data,10,67,155,50,97,238,165,150,120,66,43,43,54,30,12,5,5,3, Calibrated data,4801.485714,1548.546786,1676.086071,881.4442857,390.8114286,209.5052143,2458.788929,2132.59,809.3575,515.6385714,94.58557143,89.89771429,332.1721786,2253.960714,4945.432143,1526.961071,2663.314643,5583.742857, 12:25:12, pos 1, White LED
Leaf: 49, b'AS7265X',64,50,25, Raw data,54,337,784,256,484,1197,830,753,599,329,229,267,351,194,64,30,27,19, Calibrated data,4793.483571,1649.382143,2178.912143,1140.001429,416.8654286,251.4062857,2473.690714,2141.12,806.905,640.3511429,102.1524286,113.8704286,358.7459286,2267.417143,5002.862143,1563.607857,2657.822857,5616.587857, 12:25:14, pos 1, White LED
Leaf: 49, b'AS7265X',64,200,25, Raw data,222,1364,3180,1054,1940,4781,3321,3017,2397,1324,1045,1158,1534,872,279,128,111,77, Calibrated data,4795.483929,1881.664286,2380.6625,1281.032321,454.3182143,268.1666071,2474.435714,2144.675,811.81,694.3133929,104.99,115.36875,368.7110714,2294.330357,5073.055357,1609.416786,2663.314286,5608.376786, 12:25:17, pos 1, White LED
Leaf: 49, b'AS7265X',64,10,25, Raw data,6,7,6,4,6,4,9,17,3,17,8,8,5,10,84,176,144,47, Calibrated data,120.0371429,288.1017143,155.1931786,293.81475,2735.679286,7374.582143,134.11575,241.6935357,208.4708571,95.93275,2724.064643,1408.397857,199.3032857,235.4884643,191.4360714,122.1568929,164.7411071,93.84442857, 12:25:25, pos 1, IR LED
Leaf: 49, b'AS7265X',64,50,25, Raw data,28,35,31,19,27,21,42,84,15,84,40,38,25,45,380,813,711,242, Calibrated data,120.0371429,288.1017143,155.1931429,264.4332857,2475.138571,6813.109286,125.1747143,238.8500714,206.0182857,91.13614286,2690.013571,1450.35,186.0164286,235.4885,197.8172857,116.049,148.267,98.53664286, 12:25:27, pos 1, IR LED
Leaf: 49, b'AS7265X',64,200,25, Raw data,104,135,118,73,104,79,162,325,57,327,153,144,96,162,1355,2954,2795,988, Calibrated data,114.0353036,275.4973214,148.9854286,237.99,2206.455357,6188.783929,120.7041964,231.0305357,200.5,86.33948214,2643.666071,1480.315714,172.7295357,227.0782143,188.2455357,111.4681607,142.775625,92.67135714, 12:25:30, pos 1, IR LED
Leaf: 49, b'AS7265X',64,10,25, Raw data,171,24,5,2,2,2,2,2,1,2,1,3,3,2,1,0,1,0, Calibrated data,40.01239286,36.01271429,93.11589286,58.76296429,32.56761071,0,29.80350357,28.43453214,24.52598214,35.97478571,18.91711786,0,5680.142857,807.3889286,159.5300714,61.07842857,54.91371429,46.92221429, 12:25:38, pos 1, UV (405 nm) LED
Leaf: 49, b'AS7265X',64,50,25, Raw data,867,125,24,11,9,9,10,12,3,10,7,12,13,9,5,3,3,2, Calibrated data,24.00742857,50.4178,80.70042857,52.88665714,32.56761429,25.14062857,29.80350714,34.12143571,24.52598571,28.77982857,11.35027143,11.98636429,5759.865,841.03,153.1488571,67.18627857,49.42232857,42.22998571, 12:25:40, pos 1, UV (405 nm) LED
Leaf: 49, b'AS7265X',64,200,25, Raw data,3508,509,96,46,39,39,43,50,15,47,24,60,63,44,21,16,12,7, Calibrated data,30.00928571,43.21525,97.77169643,64.63925,34.196,33.52083929,32.03876786,35.54316071,28.81803571,35.97478571,11.35026964,10.48806786,5826.3,856.16875,153.1488571,70.24019643,53.54085714,45.74916071, 12:25:43, pos 1, UV (405 nm) LED
Leaf: 49, b'AS7265X',64,10,25, Raw data,21,3,3,1,1,2,1,1,0,1,6,2,3,5,1,0,0,0, Calibrated data,0,216.0762857,93.11589286,146.9073929,32.56761071,0,14.90175357,14.21726429,12.26299286,23.98318929,0,0,697.5614286,100.9236071,95.71803571,30.53922143,27.45685,46.92221429, 12:25:48, pos 1, 390 nm LED
Leaf: 49, b'AS7265X',64,50,25, Raw data,104,14,13,4,5,10,8,6,2,6,37,13,15,31,4,3,2,1, Calibrated data,16.00495714,266.4940714,93.11592857,182.1651429,26.05409286,25.14062857,23.8428,17.06072143,14.71559286,31.17815,7.566842857,5.993181429,690.9181429,94.19535714,82.95564286,24.43137857,27.45685,46.92220714, 12:25:50, pos 1, 390 nm LED
Leaf: 49, b'AS7265X',64,200,25, Raw data,418,55,53,18,22,39,30,23,10,23,159,52,58,122,16,11,7,3, Calibrated data,20.00619643,286.3010714,90.01203571,179.2269643,26.05408929,23.04557143,22.352625,16.34985536,14.10244107,31.17814286,6.620991071,4.494885714,694.2398214,92.51332143,84.55092857,27.48530357,30.20253571,45.74916071, 12:25:53, pos 1, 390 nm LED
Leaf: 49, b'AS7265X',64,10,25, Raw data,49,7,7,1,1,4,1,1,0,1,2,2,4,4,1,0,0,0, Calibrated data,0,72.02542857,124.1545357,117.5258929,32.56761071,0,14.90175357,14.21726429,12.26299286,23.98318929,0,0,1627.643571,235.4884643,223.3420714,30.53922143,27.45685,93.84442857, 12:26:12, pos 1, 395 nm LED
Leaf: 49, b'AS7265X',64,50,25, Raw data,244,36,37,6,7,22,6,6,3,7,11,12,26,26,4,3,2,1, Calibrated data,24.00742857,79.228,161.4009286,152.7837143,26.05409286,25.14062857,17.8821,17.06072143,17.16818571,28.77982857,7.566842857,5.993181429,1621,242.2167143,236.1045,36.64706429,38.43959286,103.2288571, 12:26:14, pos 1, 395 nm LED
Leaf: 49, b'AS7265X',64,200,25, Raw data,974,143,148,25,30,86,25,23,11,26,52,50,111,104,18,12,8,4, Calibrated data,22.00680357,93.63305357,172.2644286,152.7836786,29.31085714,25.140625,18.62719643,16.34985536,15.94188929,29.97898214,7.566846429,5.993182143,1617.678393,240.5346429,236.1044643,38.17401786,41.18526786,100.88275, 12:26:18, pos 1, 395 nm LED
Leaf: 49, b'AS7265X',64,10,25, Raw data,20,2,1,1,1,1,2,1,0,1,11,3,2,3,1,2,0,0, Calibrated data,0,396.14,62.07725,88.14442857,32.56761071,83.80207143,29.80350357,14.21726429,12.26299286,35.97478571,0,0,664.3442857,67.28242857,31.90601071,30.53922143,27.45685,23.46110357, 12:26:22, pos 1, 400 nm LED
Leaf: 49, b'AS7265X',64,50,25, Raw data,101,13,8,3,3,5,8,7,2,5,77,17,13,19,8,16,2,1, Calibrated data,16.00495714,554.5957857,80.70042857,111.6496429,52.10817857,134.0833571,23.8428,19.90417143,12.26299286,40.77142143,7.566842857,5.993181429,670.9877857,87.46714286,51.04961429,18.32353571,16.47411429,23.4611, 12:26:24, pos 1, 400 nm LED
Leaf: 49, b'AS7265X',64,200,25, Raw data,404,52,22,13,14,20,33,28,10,22,333,77,56,83,37,66,8,3, Calibrated data,20.00619643,599.6116071,86.90817857,121.9331429,60.25008929,138.2734464,24.58789286,19.90417857,13.48929107,46.16764286,7.566846429,4.494885714,670.9878571,87.46714286,35.09660714,19.8505,19.21980357,23.46110714, 12:26:27, pos 1, 400 nm LED
Leaf: 49, b'AS7265X',64,10,25, Raw data,11,2,1,0,1,1,1,1,0,1,16,1,2,6,1,1,0,0, Calibrated data,0,576.2035714,62.07725,176.2888571,32.56761071,41.90103571,14.90175357,14.21726429,12.26299286,11.99159286,0,0,365.3892857,67.28242857,31.90601071,0,27.45685,23.46110357, 12:26:31, pos 1, 405 nm LED
Leaf: 49, b'AS7265X',64,50,25, Raw data,54,11,5,2,3,4,4,4,2,2,84,6,10,31,5,5,2,1, Calibrated data,16.00495714,605.0136429,62.07727143,182.1651429,32.56761429,41.90104286,11.9214,11.37381429,4.905196429,14.38991429,7.566842857,5.993181429,358.7459286,74.01064286,31.90601429,12.21568571,16.47411429,18.76888571, 12:26:33, pos 1, 405 nm LED
Leaf: 49, b'AS7265X',64,200,25, Raw data,210,45,18,10,11,16,17,15,9,13,340,25,40,130,20,20,6,3, Calibrated data,18.00557143,612.2160714,62.07726786,190.9796429,32.56760714,41.90103571,12.66648929,10.66295,7.970944643,14.98949286,5.675135714,4.494885714,348.7807143,75.69271429,28.71541071,15.26961071,15.10126786,18.768875, 12:26:36, pos 1, 405 nm LED
Leaf: 49, b'AS7265X',64,10,25, Raw data,34,5,1,1,1,1,10,4,1,2,1,14,3,2,2,0,1,0, Calibrated data,40.01239286,36.01271429,93.11589286,58.76296429,65.13521429,0,149.0175357,56.86907143,24.52598214,167.8823214,18.91711786,0,1129.385357,168.2060357,31.90601071,30.53922143,27.45685,23.46110357, 12:26:58, pos 1, 410 nm LED
Leaf: 49, b'AS7265X',64,50,25, Raw data,167,26,7,5,7,5,52,20,5,11,7,90,17,12,12,3,4,1, Calibrated data,40.01238571,50.4178,105.5313571,70.51554286,78.16228571,25.14062857,154.9782143,56.86906429,26.97857857,215.8487143,15.13369286,5.993181429,1109.455,174.9342857,44.66841429,30.53922143,38.43959286,23.4611, 12:27:00, pos 1, 410 nm LED
