leaf number, sensor type, gain, integration time, data type,,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,,,LED
Leaf: 1, b'AS7265X',64,10,25, Raw data,13,92,199,68,144,329,211,210,165,94,51,56,65,38,16,6,8,5, Calibrated data,6602.042857,1836.648571,2017.511429,1116.496071,521.0817857,251.40625,3144.269643,2985.626071,1152.721429,671.5292857,151.3369286,149.8295357,431.8239286,3094.991071,6349.296429,2076.666786,3953.785714,7718.703571, 14:02:51, pos 1, White LED
Leaf: 1, b'AS7265X',64,50,25, Raw data,64,465,1002,345,720,1646,1060,1052,822,471,264,308,386,225,81,34,38,27, Calibrated data,6578.035714,1901.471429,2396.182143,1322.166429,527.5952857,284.9270714,3159.171429,2991.312857,1155.173571,738.6821429,143.7700714,161.8159286,425.1804286,3128.632143,6393.964286,2107.206429,3953.786429,7723.392857, 14:02:53, pos 1, White LED
Leaf: 1, b'AS7265X',64,200,25, Raw data,266,1873,4065,1421,2875,6558,4231,4208,3281,1887,1268,1413,1799,1049,348,148,156,114, Calibrated data,6564.032143,2283.205357,2791.925,1541.058571,566.6764286,310.0676786,3152.466071,2991.3125,1157.013214,847.2060714,147.5535,170.8056786,441.7889286,3150.498214,6484.896429,2169.810714,3946.921429,7692.896429, 14:02:56, pos 1, White LED
Leaf: 1, b'AS7265X',64,10,25, Raw data,6,8,7,5,6,5,9,18,3,18,9,8,6,11,99,201,169,55, Calibrated data,120.0371429,324.1144286,186.2317857,323.19625,3224.193571,8422.110714,134.11575,255.9107857,220.7338571,95.93275,3196.9925,1648.125,199.3032857,269.1296429,223.3420714,152.6961071,164.7411071,117.3055, 14:03:06, pos 1, IR LED
Leaf: 1, b'AS7265X',64,50,25, Raw data,30,38,33,22,31,24,45,90,16,86,44,40,28,50,451,932,835,283, Calibrated data,128.0396429,316.9119286,173.8163571,293.8147857,2937.598571,7810.357143,134.1157857,255.9107857,210.9234286,95.93278571,3159.158571,1696.07,199.3032857,255.6731429,210.5796429,134.3725714,170.2325,112.6132857, 14:03:08, pos 1, IR LED
Leaf: 1, b'AS7265X',64,200,25, Raw data,114,146,129,84,121,90,172,347,62,334,158,155,105,180,1608,3381,3283,1158, Calibrated data,124.0383929,284.5003571,162.9528393,264.4332143,2618.435714,7083.371429,128.1550714,246.6696429,204.7919643,92.93485714,3105.244643,1735.026071,189.3382143,245.5807143,205.79375,128.2647143,166.1139464,105.5749821, 14:03:11, pos 1, IR LED
Leaf: 1, b'AS7265X',64,10,25, Raw data,221,30,5,3,2,2,3,3,1,3,1,4,4,3,1,1,1,0, Calibrated data,40.01239286,36.01271429,124.1545357,88.14442857,32.56761071,41.90103571,44.70525,42.65178571,36.78896429,47.96639286,18.91711786,0,7341.003571,1009.236071,159.5300714,91.61767857,54.91371429,46.92221429, 14:03:18, pos 1, UV (405 nm) LED
Leaf: 1, b'AS7265X',64,50,25, Raw data,1118,155,28,14,11,12,13,14,4,17,6,16,16,12,6,4,4,2, Calibrated data,32.00990714,43.21525714,99.32364286,70.51554286,39.08113571,33.52083571,38.74455714,39.80834286,41.69417143,38.3731,15.13369286,11.98636429,7427.371429,1042.877143,178.6736429,85.50978571,60.40507143,56.30665, 14:03:20, pos 1, UV (405 nm) LED
Leaf: 1, b'AS7265X',64,200,25, Raw data,4532,633,113,57,46,48,52,58,18,68,27,70,69,50,23,17,14,9, Calibrated data,36.01114286,48.61716071,107.0832857,73.45369643,37.45275,35.61589286,38.74455357,41.23007143,41.69417857,41.97058929,13.24198036,13.48465893,7527.021429,1064.744107,180.2689286,87.03676786,63.15075,56.30664286, 14:03:23, pos 1, UV (405 nm) LED
Leaf: 1, b'AS7265X',64,10,25, Raw data,21,3,3,1,1,2,2,1,1,1,6,3,3,6,1,1,0,0, Calibrated data,40.01239286,216.0762857,93.11589286,176.2888571,32.56761071,41.90103571,29.80350357,14.21726429,12.26299286,35.97478571,0,0,697.5614286,100.9236071,95.71803571,30.53922143,27.45685,46.92221429, 14:03:32, pos 1, 390 nm LED
