leaf number, sensor type, gain, integration time, data type,,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,,,LED
Leaf: 7, b'AS7265X',64,10,25, Raw data,11,78,186,49,115,282,181,170,133,75,45,46,56,33,15,6,7,4, Calibrated data,5321.646429,1620.572143,1738.163571,969.5889286,488.5142857,251.40625,2697.217143,2416.935357,919.7242857,551.6132143,132.4198214,119.8636429,365.3892857,2624.014286,5934.517857,1496.421786,3157.5375,6616.032143, 11:03:11, pos 1, White LED
Leaf: 7, b'AS7265X',64,50,25, Raw data,59,395,943,253,573,1418,908,849,666,375,239,271,355,208,77,34,34,23, Calibrated data,5329.649286,1721.407857,2203.742857,1222.269286,501.5412143,284.9270714,2706.157857,2414.091429,919.7242857,649.9444286,128.6363571,137.8431429,391.9631429,2657.655,6017.472857,1545.284286,3146.555,6653.568571, 11:03:13, pos 1, White LED
Leaf: 7, b'AS7265X',64,200,25, Raw data,247,1596,3827,1042,2296,5665,3638,3409,2668,1510,1210,1300,1724,1027,344,154,143,98, Calibrated data,5337.651786,2178.769643,2675.530357,1508.73875,560.1628571,322.6380357,2710.628571,2423.333929,925.8558929,779.4535714,135.257375,146.8329464,410.2326786,2684.567857,6105.216071,1591.093393,3152.046429,6645.357143, 11:03:16, pos 1, White LED
Leaf: 7, b'AS7265X',64,10,25, Raw data,6,8,7,4,6,5,9,18,3,18,8,8,6,11,99,198,160,52, Calibrated data,120.0371429,288.1017143,186.2317857,323.19625,3224.193571,8296.407143,134.11575,255.9107857,220.7338571,95.93275,3026.738571,1558.227143,199.3032857,269.1296429,223.3420714,122.1568929,164.7411071,117.3055, 11:03:22, pos 1, IR LED
Leaf: 7, b'AS7265X',64,50,25, Raw data,30,37,33,21,31,23,45,90,16,87,44,40,28,49,451,920,790,265, Calibrated data,128.0396429,316.9119286,173.8163571,287.9385,2937.598571,7709.792857,134.1157857,255.9107857,213.3760714,95.93278571,2988.904286,1588.192857,199.3032857,248.9449286,210.5796429,128.2647143,170.2325,107.9210714, 11:03:24, pos 1, IR LED
Leaf: 7, b'AS7265X',64,200,25, Raw data,114,144,127,82,119,89,173,346,62,336,168,152,104,179,1609,3344,3109,1086, Calibrated data,124.0383929,302.5067857,161.4008929,262.9642857,2620.064286,7005.855357,128.9001607,245.95875,206.0182143,91.136125,2940.666071,1627.14875,189.3382143,242.2166071,202.6032143,125.2108036,163.3682679,104.4019107, 11:03:27, pos 1, IR LED
Leaf: 7, b'AS7265X',64,10,25, Raw data,216,30,5,2,2,2,2,3,1,3,1,3,3,2,1,1,1,0, Calibrated data,40.01239286,36.01271429,93.11589286,58.76296429,32.56761071,41.90103571,29.80350357,42.65178571,36.78896429,35.97478571,18.91711786,0,7174.917857,1009.236071,159.5300714,61.07842857,54.91371429,46.92221429, 11:03:42, pos 1, UV (405 nm) LED
Leaf: 7, b'AS7265X',64,50,25, Raw data,1094,155,27,13,11,11,12,13,4,15,8,14,13,10,5,4,3,2, Calibrated data,32.00990714,57.62034286,80.70042857,58.76295,32.56761429,33.52083571,35.76420714,36.96489286,36.78897143,33.57646429,11.35027143,11.98636429,7267.928571,1042.877143,172.2925,79.402,60.40507143,51.61442857, 11:03:44, pos 1, UV (405 nm) LED
Leaf: 7, b'AS7265X',64,200,25, Raw data,4436,634,108,52,44,45,49,55,17,62,22,61,60,43,21,16,13,9, Calibrated data,34.01053571,39.61398214,93.11589286,63.17017857,34.196,33.52083929,36.50928571,39.09748214,38.01526786,36.57435714,12.296125,13.48465893,7367.578571,1066.42625,172.2924643,79.40196429,60.40507143,52.78748214, 11:03:47, pos 1, UV (405 nm) LED
Leaf: 7, b'AS7265X',64,10,25, Raw data,23,3,3,1,1,2,2,1,1,1,6,2,3,6,1,1,0,0, Calibrated data,40.01239286,216.0762857,93.11589286,176.2888571,32.56761071,41.90103571,29.80350357,14.21726429,12.26299286,23.98318929,0,0,763.9960714,100.9236071,95.71803571,30.53922143,27.45685,46.92221429, 11:03:54, pos 1, 390 nm LED
Leaf: 7, b'AS7265X',64,50,25, Raw data,116,15,16,5,7,12,8,6,4,6,41,13,15,36,5,5,2,1, Calibrated data,32.00990714,295.3042857,93.11592857,211.5466429,32.56761429,41.90104286,23.8428,17.06072143,14.71559286,31.17815,7.566842857,5.993181429,770.6392857,100.9236429,102.0992143,30.53922143,38.43959286,56.30665, 11:03:56, pos 1, 390 nm LED
