Leaf number,LED,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,680 nm,position,Chlorophyll a (ug/ml),Chlorophyll b (ug/ml),Total Chlorophyll (ug/ml),Chlorophyll a (ug/ml) stdev,Chlorophyll b (ug/ml) stdev,Total Chlorophyll (ug/ml) stdev
1,390 nm LED,200,24.70394245888889,41.12118240666667,21.57760172,58.98059523666667,17.996622222222225,41.12118240666667,3,0.178536649,0.030301404999999997,0.20883805400000005,0.007381983000000001,0.010066401,0.016239583999999998
1,395 nm LED,200,22.43657275222222,11.737478200888889,29.50969709111111,38.80531402222222,17.61063597888889,11.737478200888889,3,0.178536649,0.030301404999999997,0.20883805400000005,0.007381983000000001,0.010066401,0.016239583999999998
1,400 nm LED,200,21.917894843333336,69.98470846555556,23.21000119,37.94563875555556,24.063853967777774,69.98470846555556,3,0.178536649,0.030301404999999997,0.20883805400000005,0.007381983000000001,0.010066401,0.016239583999999998
1,405 nm LED,200,18.672445636666666,57.30023359999999,20.92233902111111,44.627198808888885,17.93631256666667,57.30023359999999,3,0.178536649,0.030301404999999997,0.20883805400000005,0.007381983000000001,0.010066401,0.016239583999999998
1,410 nm LED,200,49.1115022488889,12.444393174111111,32.65954603,29.08766389,37.235635582222216,12.444393174111111,3,0.178536649,0.030301404999999997,0.20883805400000005,0.007381983000000001,0.010066401,0.016239583999999998
1,425 nm LED,200,46.444005422222226,21.67432129444445,22.66969986777778,35.605998281111106,37.46481521111111,21.67432129444445,3,0.178536649,0.030301404999999997,0.20883805400000005,0.007381983000000001,0.010066401,0.016239583999999998
1,455 nm LED,200,24.70394245888889,6.602330952222221,14.31225857111111,14.05958131,11.89320967,6.602330952222221,3,0.178536649,0.030301404999999997,0.20883805400000005,0.007381983000000001,0.010066401,0.016239583999999998
1,465 nm LED,200,18.850278969999998,12.80452063111111,39.89039695666666,25.072194444444442,14.812234655555557,12.80452063111111,3,0.178536649,0.030301404999999997,0.20883805400000005,0.007381983000000001,0.010066401,0.016239583999999998
1,470 nm LED,200,19.991373149999998,30.877567856666662,89.17284629666668,65.40099232888889,20.61409219777778,30.877567856666662,3,0.178536649,0.030301404999999997,0.20883805400000005,0.007381983000000001,0.010066401,0.016239583999999998
1,475 nm LED,200,78.23162314444446,34.54552645555557,138.17940067777778,60.93936071555556,59.01975264444444,34.54552645555557,3,0.178536649,0.030301404999999997,0.20883805400000005,0.007381983000000001,0.010066401,0.016239583999999998
1,480 nm LED,200,26.497095236666667,32.81158452444444,176.21896096666666,64.50867222111111,26.524511111111117,32.81158452444444,3,0.178536649,0.030301404999999997,0.20883805400000005,0.007381983000000001,0.010066401,0.016239583999999998
1,505 nm LED,200,26.497095236666667,17.686244443333333,83.8962772488889,38.31563068777777,19.395822487777778,17.686244443333333,3,0.178536649,0.030301404999999997,0.20883805400000005,0.007381983000000001,0.010066401,0.016239583999999998
1,525 nm LED,200,52.83116984111111,70.33149391444445,67.20439073999998,70.88553439111111,34.883532142222215,70.33149391444445,3,0.178536649,0.030301404999999997,0.20883805400000005,0.007381983000000001,0.010066401,0.016239583999999998
1,630 nm LED,200,657.151535711111,24.995489683333332,50.25959761888889,28.282391138888887,38.224725793333334,24.995489683333332,3,0.178536649,0.030301404999999997,0.20883805400000005,0.007381983000000001,0.010066401,0.016239583999999998
1,890 nm LED,200,59.959302381111115,165.19166335555556,38.94773743333333,260.6028240666667,2600.5964022222224,165.19166335555556,3,0.178536649,0.030301404999999997,0.20883805400000005,0.007381983000000001,0.010066401,0.016239583999999998
1,940 nm LED,200,46.62184338555556,100.91562725888888,193.8305172,317.11321032222224,55.23226005222223,100.91562725888888,3,0.178536649,0.030301404999999997,0.20883805400000005,0.007381983000000001,0.010066401,0.016239583999999998
1,IR LED,200,27.993852908888886,29.93056732777778,29.55568015777778,47.68504735444445,384.5872870333334,29.93056732777778,3,0.178536649,0.030301404999999997,0.20883805400000005,0.007381983000000001,0.010066401,0.016239583999999998
1,UV (405 nm) LED,200,21.562228176666665,3.001059523777778,21.86499643,18.945611905555552,14.66748894111111,3.001059523777778,3,0.178536649,0.030301404999999997,0.20883805400000005,0.007381983000000001,0.010066401,0.016239583999999998
1,White LED,200,1607.719920583333,266.3840178583334,323.517401775,179.32495535,111.55311756666667,266.3840178583334,3,0.178536649,0.030301405,0.20883805400000008,0.007381982999999999,0.010066401,0.016239583999999998
2,390 nm LED,200,26.852760316666668,35.38582671888889,22.451280556666667,55.574518122222216,23.376310185555557,35.38582671888889,3,0.210932288,0.039267532,0.25019982,0.0065536740000000015,0.0064904559999999995,0.012424851
2,395 nm LED,200,26.200706347777775,15.80558126888889,26.58976494777778,39.68676401999999,22.93001111222223,15.80558126888889,3,0.210932288,0.039267532,0.25019982,0.0065536740000000015,0.0064904559999999995,0.012424851
2,400 nm LED,200,25.400456347777777,72.89240052888888,23.98022129666667,41.38435767111111,29.769209392222226,72.89240052888888,3,0.210932288,0.039267532,0.25019982,0.0065536740000000015,0.0064904559999999995,0.012424851
2,405 nm LED,200,21.81415965777778,55.793032672222225,22.221362962222223,44.84483703555556,23.557242725555554,55.793032672222225,3,0.210932288,0.039267532,0.25019982,0.0065536740000000015,0.0064904559999999995,0.012424851
2,410 nm LED,200,62.74534867666667,9.616728200333334,31.26855462888889,35.63864272555556,44.931244840000005,9.616728200333334,3,0.210932288,0.039267532,0.25019982,0.0065536740000000015,0.0064904559999999995,0.012424851
