,Model,y transform,x transform,r2 train,mae train,r2 test,mae test
0,PLS 1-component,None,None,0.5948039094914445,0.10263913148356016,0.6016721186110998,0.09912230189731257
1,PLS 1-component,None,Exponential,0.5937621766859615,0.10279906082053916,0.40392344065374963,0.10350886607342467
2,PLS 1-component,None,Logarithm plus 1,0.39969914989209754,0.11786962146973244,0.23178061515359694,0.1453793667299163
3,PLS 1-component,None,Exponential minus one,0.5958300356384996,0.1024758638855042,0.6356304733607826,0.09189390433198744
4,PLS 1-component,None,Quantile Transform,0.5937621766859618,0.10279906082053931,0.1204919663788322,0.16687327073413508
5,PLS 1-component,Exponential,None,0.6208557963908083,0.10022314639573458,0.14876945372864392,0.15690072162470275
6,PLS 1-component,Exponential,Exponential,0.62012962567962,0.10036807647606985,0.7539693641373071,0.0892781374860378
7,PLS 1-component,Exponential,Logarithm plus 1,0.4109618018400901,0.11800537001674259,0.3421957828073813,0.10559681079689348
8,PLS 1-component,Exponential,Exponential minus one,0.6215623051460302,0.10007539578815393,0.4253522335732163,0.13288410765851089
9,PLS 1-component,Exponential,Quantile Transform,0.6201296256796194,0.10036807647607003,0.7014028416294913,0.1094277179632767
10,PLS 1-component,LogarithmReciprocol,None,0.4682893761386302,0.10957721204214425,0.48809894333275383,0.10912159587166673
11,PLS 1-component,LogarithmReciprocol,Exponential,0.4662416109415455,0.10977558816323997,0.5438298629278422,0.09973593233129545
12,PLS 1-component,LogarithmReciprocol,Logarithm plus 1,0.31240437884579597,0.12292124430335309,-0.17937448368958453,0.12757643240517924
13,PLS 1-component,LogarithmReciprocol,Exponential minus one,0.47029014304711236,0.1093741933304842,0.6827379465978244,0.08819040456743966
14,PLS 1-component,LogarithmReciprocol,Quantile Transform,0.4662416109415476,0.10977558816324012,0.6905289766288512,0.0792117264892029
15,PLS 1-component,Logarithm plus 1,None,0.5659132931511344,0.10461997657949729,0.3188965492115333,0.12333047237387902
16,PLS 1-component,Logarithm plus 1,Exponential,0.564603875082375,0.10479461839258464,0.3412131086441348,0.12852013002790752
17,PLS 1-component,Logarithm plus 1,Logarithm plus 1,0.3817086569021163,0.11880084842874256,-33.63035190329425,0.4674930040690598
18,PLS 1-component,Logarithm plus 1,Exponential minus one,0.5672038327816302,0.10444159201415935,-0.2051959973362376,0.14833963894967514
19,PLS 1-component,Logarithm plus 1,Quantile Transform,0.5646038750823756,0.10479461839258483,0.20632141585607966,0.12052860345303507
20,PLS 1-component,Exponential minus one,None,-1.1352225579650428,0.14726687776141342,-0.20873535103651797,0.13377626609178694
21,PLS 1-component,Exponential minus one,Exponential,-1.1272731663829485,0.1476287758771952,-4.588618351000919,0.19026924138105225
22,PLS 1-component,Exponential minus one,Logarithm plus 1,-0.7384149367496735,0.15330848872191993,-0.2336525120300541,0.14990488181852943
23,PLS 1-component,Exponential minus one,Exponential minus one,-1.1477425345522634,0.14694420079135492,-0.1885165395134365,0.15149234443389223
24,PLS 1-component,Exponential minus one,Quantile Transform,-1.1272731663829658,0.14762877587719545,0.3643347423859602,0.14006689076855214
25,PLS 1-component,Quantile Transform,None,0.596069236168751,0.10236145730948897,0.5947081991403647,0.09793241695724318
26,PLS 1-component,Quantile Transform,Exponential,0.5949885445831389,0.10250972533019426,0.27891321539576586,0.13433757019952924
27,PLS 1-component,Quantile Transform,Logarithm plus 1,0.39041183873609187,0.11967758992643265,-0.14699699243386455,0.21095269523530166
28,PLS 1-component,Quantile Transform,Exponential minus one,0.5971394547904582,0.1022268106591599,0.5679394329491327,0.12450990126276092
29,PLS 1-component,Quantile Transform,Quantile Transform,0.5949885445831387,0.10250972533019445,0.5838885856675884,0.10242434421845163
30,PLS 1-component,Normal Quantile Transform,None,0.630505036103473,0.09362773067738121,-0.44383423873915717,0.16730341217744724
31,PLS 1-component,Normal Quantile Transform,Exponential,0.6298285427719015,0.09370611704052796,0.34211290193614263,0.10645207677560355
32,PLS 1-component,Normal Quantile Transform,Logarithm plus 1,0.42407453878486534,0.10968683116500402,-0.40890598257992594,0.15542990405402782
33,PLS 1-component,Normal Quantile Transform,Exponential minus one,0.6312160501403925,0.09354204134891538,-0.678769700106487,0.15475241801664785
34,PLS 1-component,Normal Quantile Transform,Quantile Transform,0.6298285427719011,0.09370611704052802,0.10756061516309234,0.11281911876199703
35,PLS 1-component,Power Transform,None,0.5971101389568918,0.10246465431757926,-0.31239633056343186,0.12612077094100851
36,PLS 1-component,Power Transform,Exponential,0.5960925177515879,0.10262332655831032,0.7360719881763043,0.09070317526405773
37,PLS 1-component,Power Transform,Logarithm plus 1,0.4009887344698082,0.11786616048242927,-4.6789314018127905,0.28803506189431716
38,PLS 1-component,Power Transform,Exponential minus one,0.5981121183169118,0.1023026844990971,0.16479363548256631,0.13578087224639374
39,PLS 1-component,Power Transform,Quantile Transform,0.5960925177515881,0.10262332655831048,0.33901923916023136,0.15509371386565565
40,PLS 2-component,None,None,0.6541039593871377,0.09239292123171526,0.3682850356669539,0.10152193364274507
41,PLS 2-component,None,Exponential,0.6529393130821006,0.09254233430523899,0.5075808281728071,0.10857031408762784
42,PLS 2-component,None,Logarithm plus 1,0.4612145056135345,0.1098761050810717,0.13236218359017848,0.14146778756340753
43,PLS 2-component,None,Exponential minus one,0.6552836006289202,0.09223552536122676,0.7226485976836494,0.08854013367944517
44,PLS 2-component,None,Quantile Transform,0.6529393130821007,0.09254233430523927,0.187814210112203,0.11532784619385787
45,PLS 2-component,Exponential,None,0.6725309036999554,0.09068483689132625,0.5930844061405565,0.088783270258153
