integration time,gain,450.1,500.1,550.1,570.1,600.1,650.1,Chlorophyll a (ug/ml),Chlorophyll b (ug/ml),Total Chlorophyll (ug/ml)
150,16,22074.04891291304,17905.254128119563,35909.65032344021,35074.12223066306,28683.76057166304,12580.22038063588,0.4480159516304351,0.12349323890760876,0.5715091905380435
200,16,22469.05819129892,17824.345467576088,35577.04140103263,34797.30830711956,28500.928435375023,12529.896273081527,0.4480159516304351,0.12349323890760876,0.5715091905380435
250,16,22448.245217467396,17658.591708565218,35442.48061298912,34667.60895972826,28379.945256282637,12485.07395961957,0.4480159516304351,0.12349323890760876,0.5715091905380435
