Leaf number,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time
1,1,64,50,  6520.850,   824.850,    62.600,    58.100,    34.050,    25.850,    34.950,    28.750,    11.450,    45.100,    62.650,    71.250,   117.600,    64.150,    21.900,    11.400,    13.000,    14.600,b'UV',100 mA,b'OK Read',10:28:06
1,1,64,50,   374.650,  2250.000,  4503.450,  1636.350,  4404.900,  9301.600,  3004.050,  2484.250,  8058.650,   857.350,  2071.900,   838.300,  3695.600,  2168.300,  3982.100,  8257.250,  5777.000,  2704.050,b'White IR',100 mA,b'OK Read',10:28:06
1,1,64,50,  5634.000,  3111.500,  4874.900,  1694.500,  4669.800, 10238.550,  3224.400,  2518.200,  8814.650,   746.800,  2024.900,   901.150,  4120.800,  2193.950,   657.100,   256.800,   136.700,   155.900,b'White UV',100 mA,b'OK Read',10:28:07
1,1,64,50,  4913.150,   756.100,   179.450,   196.700,   264.900,   142.150,   174.650,   274.300,   154.650,   254.950,   349.650,   178.150,   312.100,   376.350,  3452.050,  8046.150,  5676.100,  2596.850,b'UV IR',100 mA,b'OK Read',10:28:08
1,1,64,50,  4178.100,  2703.700,  4474.200,  1645.300,  4329.250,  9110.950,  2961.100,  2450.250,  7904.000,   864.150,  2092.750,   884.400,  3740.850,  2185.400,  3855.050,  8074.650,  5747.700,  2738.150,b'White UV IR',100 mA,b'OK Read',10:28:09
1,1,64,100,    47.425,   387.225,  1229.150,   397.925,   993.375,  2175.975,   682.500,   536.825,  1918.725,   157.925,   409.675,   157.175,   732.800,   384.900,   131.425,    54.200,    29.300,    29.225,b'White',12.5 mA,b'OK Read',10:28:11
1,1,64,100,    21.350,    18.325,    18.775,    20.125,    30.275,    17.775,    20.150,    31.350,    20.050,    30.450,    49.575,    16.775,    33.925,    49.175,   495.025,  1161.275,   639.550,   253.350,b'IR',12.5 mA,b'OK Read',10:28:12
1,1,64,100,  3156.075,   426.175,    31.300,    26.825,    17.025,    12.925,    16.125,    13.050,     5.725,    21.425,    33.925,    30.400,    52.025,    32.075,    10.950,     8.550,     8.125,     7.300,b'UV',12.5 mA,b'OK Read',10:28:13
1,1,64,100,    66.400,   405.550,  1241.675,   415.800,  1029.325,  2206.675,   704.000,   569.475,  1944.500,   185.000,   433.175,   172.900,   750.875,   423.400,   626.450,  1215.475,   665.575,   280.150,b'White IR',12.5 mA,b'OK Read',10:28:14
1,1,64,100,  3186.900,   811.100,  1256.275,   422.500,  1014.200,  2196.975,   699.975,   551.175,  1930.175,   175.975,   425.325,   190.700,   784.800,   410.575,   140.175,    57.075,    34.175,    36.550,b'White UV',12.5 mA,b'OK Read',10:28:15
