Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,LED current,saturation check,time
1A,3,64,100,6330.615,5532.737,12637.789,12477.179,10319.897,3163.604,White LED,12.5 mA,b'OK Read',10:35:04
1A,3,64,100,12270.704,10770.111,24655.632,24374.133,20082.855,6134.641,White LED,25 mA,b'OK Read',10:35:05
1A,3,64,100,23005.735,20218.697,46407.442,45908.979,37628.806,11505.89,White LED,50 mA,b'OK Read',10:35:06
1A,3,64,100,30296.514,26625.347,61490.132,60806.924,49794.155,15224.271,White LED,100 mA,b'OK Read',10:35:07
1A,3,64,150,6318.87,5499.242,12622.581,12447.85,10323.831,3148.321,White LED,12.5 mA,b'OK Read',10:35:08
1A,3,64,150,12256.023,10728.496,24647.58,24344.012,20086.003,6119.358,White LED,25 mA,b'OK Read',10:35:09
1A,3,64,150,22973.436,20159.829,46282.2,45748.861,37552.503,11462.333,White LED,50 mA,b'OK Read',10:35:11
1A,3,64,150,30396.348,26615.195,61493.711,60771.257,49813.034,15206.696,White LED,100 mA,b'OK Read',10:35:12
1A,3,64,200,6324.742,5485.539,12617.661,12439.131,10321.078,3149.849,White LED,12.5 mA,b'OK Read',10:35:13
1A,3,64,200,12258.959,10701.599,24626.111,24313.496,20075.776,6115.154,White LED,25 mA,b'OK Read',10:35:14
1A,3,64,200,22958.755,20081.674,46147.119,45623.623,37465.972,11446.285,White LED,50 mA,b'OK Read',10:35:15
1A,3,64,200,30491.775,26556.833,61393.516,60705.859,49775.274,15216.247,White LED,100 mA,b'OK Read',10:35:16
1A,3,64,250,6335.312,5483.408,12610.415,12434.851,10319.426,3152.6,White LED,12.5 mA,b'OK Read',10:35:17
1A,3,64,250,12300.654,10722,24560.627,24269.504,20029.994,6136.475,White LED,25 mA,b'OK Read',10:35:19
1A,3,64,250,23041.559,20094.463,46058.555,45548.48,37406.5,11440.325,White LED,50 mA,b'OK Read',10:35:21
1A,3,64,250,30630.074,26546.176,61370.973,60688.5,49747.902,15215.56,White LED,100 mA,b'OK Read',10:35:22
1A,4,64,50,6359.977,5560.142,12742.455,12541.383,10430.813,3172.774,White LED,12.5 mA,b'OK Read',10:35:29
1A,4,64,50,12261.896,10693.985,24840.81,24469.253,20262.21,6148.396,White LED,25 mA,b'OK Read',10:35:30
1A,4,64,50,22996.926,20127.349,46928.091,46180.063,38088.989,11554.032,White LED,50 mA,b'OK Read',10:35:31
1A,4,64,50,30167.317,26357.388,61892.69,60875.884,50148.14,15189.884,White LED,100 mA,b'OK Read',10:35:33
1A,4,64,100,6318.87,5444.432,12694.148,12462.91,10397.775,3140.679,White LED,12.5 mA,b'OK Read',10:35:34
1A,4,64,100,12256.023,10605.681,24757.615,24357.488,20210.29,6102.547,White LED,25 mA,b'OK Read',10:35:35
1A,4,64,100,22967.564,19935.514,46595.308,45851.909,37867.156,11432.531,White LED,50 mA,b'OK Read',10:35:36
1A,4,64,100,30290.64,26253.857,61798.76,60768.877,50117.461,15121.109,White LED,100 mA,b'OK Read',10:35:37
1A,4,64,150,6318.87,5424.132,12665.521,12433.582,10374.176,3136.094,White LED,12.5 mA,b'OK Read',10:35:38
1A,4,64,150,12238.406,10580.307,24720.936,24313.892,20177.253,6085.735,White LED,25 mA,b'OK Read',10:35:39
1A,4,64,150,22949.946,19881.72,46453.962,45687.035,37752.308,11381.332,White LED,50 mA,b'OK Read',10:35:40
1A,4,64,150,30321.96,26164.538,61740.612,60714.186,50089.932,15107.355,White LED,100 mA,b'OK Read',10:35:41
1A,4,64,200,6311.529,5406.37,12657.917,12422.485,10368.276,3125.778,White LED,12.5 mA,b'OK Read',10:35:43
1A,4,64,200,12238.406,10567.62,24695.889,24280.205,20164.272,6076.183,White LED,25 mA,b'OK Read',10:35:44
1A,4,64,200,22932.329,19825.895,46285.332,45554.663,37637.065,11364.904,White LED,50 mA,b'OK Read',10:35:45
1A,4,64,200,30462.412,26214.272,61617.607,60667.812,50011.265,15126.841,White LED,100 mA,b'OK Read',10:35:46
1A,4,64,250,6328.266,5416.418,12640.473,12419.632,10355.296,3133.343,White LED,12.5 mA,b'OK Read',10:35:47
1A,4,64,250,12272.466,10596.547,24666.902,24277.113,20138.549,6086.041,White LED,25 mA,b'OK Read',10:35:49
1A,4,64,250,22986.356,19864.262,46206.699,45504.723,37550.93,11356.88,White LED,50 mA,b'OK Read',10:35:51
1A,4,64,250,30572.523,26292.834,61563.129,60627.625,49938.582,15111.94,White LED,100 mA,b'OK Read',10:35:53
1B,1,64,50,7170.39,5864.641,13563.684,13016.977,11568.291,3415.775,White LED,12.5 mA,b'OK Read',10:38:41
1B,1,64,50,13941.446,11491.772,25629.834,25439.46,22022.705,7005.778,White LED,25 mA,b'OK Read',10:38:42
1B,1,64,50,26168.108,21607.212,48613.487,48053.902,41520.302,13094.569,White LED,50 mA,b'OK Read',10:38:43
1B,1,64,50,34254.617,28214.826,63921.612,63187.266,54523.418,17188.915,White LED,100 mA,b'OK Read',10:38:44
1B,1,64,100,7193.881,5873.776,13150.386,12962.283,11327.58,3564.785,White LED,12.5 mA,b'OK Read',10:38:46
1B,1,64,100,13941.446,11382.152,25627.148,25299.162,22020.344,6914.08,White LED,25 mA,b'OK Read',10:38:47
1B,1,64,100,26156.362,21372.746,48323.643,47630.625,41336.231,12940.974,White LED,50 mA,b'OK Read',10:38:48
1B,1,64,100,34439.602,28026.037,63454.639,62856.728,54287.427,17184.33,White LED,100 mA,b'OK Read',10:38:49
1B,1,64,150,7172.348,5793.591,13136.073,12879.054,11321.288,3528.87,White LED,12.5 mA,b'OK Read',10:38:50
1B,1,64,150,13900.339,11207.573,25696.032,25149.351,22082.489,6828.494,White LED,25 mA,b'OK Read',10:38:51
1B,1,64,150,26001.717,20825.666,48552.656,47264.417,41493.555,12692.624,White LED,50 mA,b'OK Read',10:38:52
1B,1,64,150,34381.855,27390.651,64490.566,62670.456,55014.284,16786.969,White LED,100 mA,b'OK Read',10:38:54
1B,1,64,200,7141.027,5665.194,13248.342,12837.44,11405.458,3475.379,White LED,12.5 mA,b'OK Read',10:38:55
1B,1,64,200,13890.061,11073.087,25759.995,25060.176,22143.059,6774.239,White LED,25 mA,b'OK Read',10:38:56
1B,1,64,200,26050.657,20785.066,48381.343,47050.4,41385.786,12642.953,White LED,50 mA,b'OK Read',10:38:57
1B,1,64,200,34458.686,27251.089,64355.034,62525.005,54974.165,16777.417,White LED,100 mA,b'OK Read',10:38:58
1B,1,64,250,7125.759,5613.734,13294.234,12797.253,11432.36,3439.617,White LED,12.5 mA,b'OK Read',10:38:59
1B,1,64,250,13792.283,10901.045,25931.486,25006.672,22231.32,6670.161,White LED,25 mA,b'OK Read',10:39:01
1B,1,64,250,25929.682,20543.902,48430.992,46889.652,41413.633,12536.124,White LED,50 mA,b'OK Read',10:39:03
1B,1,64,250,34428.441,27078.44,64553.902,62335.953,55075.641,16631.387,White LED,100 mA,b'Saturated Read',10:39:05
1B,2,64,50,7076.43,5547.962,13687.136,12893.323,11653.248,3333.247,White LED,12.5 mA,b'OK Read',10:39:11
1B,2,64,50,13641.946,10663.536,26622.822,25139.839,22641.001,6496.851,White LED,25 mA,b'OK Read',10:39:12
1B,2,64,50,25704.175,20145.619,50180.796,47511.723,42520.904,12278.451,White LED,50 mA,b'OK Read',10:39:13
1B,2,64,50,33796.555,26473.095,66095.449,62668.872,55901.606,16193.984,White LED,100 mA,b'OK Read',10:39:15
1B,2,64,100,7079.365,5499.243,13563.684,12848.141,11594.251,3358.463,White LED,12.5 mA,b'OK Read',10:39:16
1B,2,64,100,13727.098,10697.031,26459.114,25085.144,22537.166,6515.19,White LED,25 mA,b'OK Read',10:39:17
1B,2,64,100,25727.666,20054.269,49767.5,47147.896,42237.715,12179.876,White LED,50 mA,b'OK Read',10:39:18
1B,2,64,100,33770.129,26177.732,65998.833,62293.149,55894.526,16001.417,White LED,100 mA,b'OK Read',10:39:19
1B,2,64,150,7011.831,5403.833,13533.267,12739.548,11574.584,3308.794,White LED,12.5 mA,b'OK Read',10:39:20
1B,2,64,150,13587.135,10519.407,26400.965,24908.382,22508.846,6431.133,White LED,25 mA,b'OK Read',10:39:21
1B,2,64,150,25494.72,19751.8,49567.113,46769.801,42100.84,12027.808,White LED,50 mA,b'OK Read',10:39:22
1B,2,64,150,33780.895,26075.218,65830.651,62058.529,55813.503,15935.7,White LED,100 mA,b'OK Read',10:39:24
1B,2,64,200,6995.682,5380.488,13507.324,12722.109,11555.311,3305.737,White LED,12.5 mA,b'OK Read',10:39:25
1B,2,64,200,13568.539,10477.792,26326.267,24800.979,22464.006,6391.397,White LED,25 mA,b'OK Read',10:39:26
1B,2,64,200,25385.588,19623.403,49316.631,46464.233,41902.607,11918.534,White LED,50 mA,b'OK Read',10:39:27
1B,2,64,200,33527.886,25867.144,65628.477,61822.315,55611.338,15828.336,White LED,100 mA,b'OK Read',10:39:28
