Leaf No.,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
85,33.59011734,28.54440436,5.045712983,1.996932842,1.696892403,0.30004044
86,28.76396532,24.23141795,4.532547374,1.545133459,1.30204939,0.243084069
87,30.46228887,25.93108078,4.531208098,1.615354571,1.375021877,0.240332694
88,37.46214426,31.23716489,6.224979369,1.926913178,1.607474917,0.31943826
89,23.39295937,19.9988022,3.394157176,1.30781628,1.117522122,0.190294158
90,36.10388185,30.26569208,5.838189778,1.824430629,1.529228807,0.295201823
91,34.33071452,29.16835884,5.162355678,1.90585635,1.619076681,0.286779669
92,33.22605928,28.40459315,4.821466129,1.829895691,1.564425636,0.265470055
93,32.46691031,27.04157569,5.425334622,1.88634918,1.571371761,0.314977418
94,24.84435328,21.45322047,3.391132804,1.456990625,1.257631758,0.199358868
95,11.68182626,9.960709876,1.721116377,0.700972784,0.596746239,0.104226545
96,23.45784663,19.73766397,3.720182657,1.266785253,1.066217268,0.200567985
97,27.24069856,22.75319925,4.487499312,1.52116482,1.270620291,0.250544528
98,26.70068929,22.65654351,4.04414578,1.489324401,1.263972415,0.225351986
99,25.9394088,21.90878153,4.030627274,1.446100085,1.221942014,0.224158071
100,22.09737882,17.48073063,4.616648197,1.410648333,1.116669353,0.29397898
